Airline ID,Departures Performed,Distance, Available Seats, Transported Passengers,Carrier Name,Year,Month ,Day,From - To City,Date,Weekend / Weekday
20336,1,80,9,0,Hageland Aviation Service,2008,12,27,"Red Dog, AK - Kotzebue, AK",27-12-2008,Weekend
20340,1,35,9,0,Wings Of Alaska,2008,9,11,"Juneau, AK - Hoonah, AK",11-09-2008,Weekday
20225,1,136,9,0,Peninsula Airways Inc.,2008,8,7,"Iliamna, AK - Dillingham, AK",07-08-2008,Weekday
20340,1,80,9,0,Wings Of Alaska,2008,3,10,"Haines, AK - Hoonah, AK",10-03-2008,Weekday
20331,1,95,9,0,Bering Air Inc.,2008,8,3,"Nome, AK - Elim, AK",03-08-2008,Weekend
20336,1,59,9,0,Hageland Aviation Service,2008,7,14,"St. Mary's, AK - Sheldon Point, AK",14-07-2008,Weekday
20331,1,73,9,0,Bering Air Inc.,2008,12,9,"Noorvik, AK - Noatak, AK",09-12-2008,Weekday
20336,1,130,9,0,Hageland Aviation Service,2008,2,28,"Koyuk, AK - Nome, AK",28-02-2008,Weekday
20336,1,56,9,0,Hageland Aviation Service,2008,10,5,"Kotzebue, AK - Deering, AK",05-10-2008,Weekend
20336,1,16,9,0,Hageland Aviation Service,2008,3,17,"Pilot Station, AK - St. Mary's, AK",17-03-2008,Weekday
20336,1,95,9,0,Hageland Aviation Service,2008,3,27,"Elim, AK - Nome, AK",27-03-2008,Weekday
20336,1,51,9,0,Hageland Aviation Service,2008,2,1,"Wales, AK - Brevig Mission, AK",01-02-2008,Weekday
20333,1,108,9,0,Wright Air Service,2008,5,18,"Beaver, AK - Fairbanks, AK",18-05-2008,Weekend
20333,1,39,9,0,Wright Air Service,2008,3,24,"Nikolai, AK - McGrath, AK",24-03-2008,Weekday
20340,1,123,9,0,Wings Of Alaska,2008,7,11,"Petersburg, AK - Juneau, AK",11-07-2008,Weekday
20336,1,118,9,0,Hageland Aviation Service,2008,10,8,"Nome, AK - Stebbins, AK",08-10-2008,Weekday
20331,1,72,9,0,Bering Air Inc.,2008,7,19,"Unalakleet, AK - Grayling, AK",19-07-2008,Weekend
20455,1,128,9,0,Grant Aviation,2008,9,7,"Quinhagak, AK - Dillingham, AK",07-09-2008,Weekend
20336,1,147,9,0,Hageland Aviation Service,2008,9,17,"Unalakleet, AK - Nome, AK",17-09-2008,Weekday
20336,1,16,9,0,Hageland Aviation Service,2008,3,9,"Atmautluak, AK - Bethel, AK",09-03-2008,Weekend
20336,1,80,9,0,Hageland Aviation Service,2008,11,2,"Bethel, AK - Kwigillingok, AK",02-11-2008,Weekend
20340,1,0,9,0,Wings Of Alaska,2008,3,19,"Skagway, AK - Skagway, AK",19-03-2008,Weekday
20336,1,113,9,0,Hageland Aviation Service,2008,4,23,"Pilot Station, AK - Aniak, AK",23-04-2008,Weekday
20225,1,14,9,0,Peninsula Airways Inc.,2008,1,19,"King Salmon, AK - Naknek, AK",19-01-2008,Weekend
20336,1,59,9,0,Hageland Aviation Service,2008,4,6,"Golovin, AK - Shaktoolik, AK",06-04-2008,Weekend
20225,1,80,9,0,Peninsula Airways Inc.,2008,5,17,"Koliganek, AK - King Salmon, AK",17-05-2008,Weekend
20336,1,131,9,0,Hageland Aviation Service,2008,1,13,"Hooper Bay, AK - Kipnuk, AK",13-01-2008,Weekend
20336,1,6,9,0,Hageland Aviation Service,2008,11,10,"Napaskiak, AK - Bethel, AK",10-11-2008,Weekday
20455,1,457,9,0,Grant Aviation,2008,9,3,"Granite Mountain, AK - Anchorage, AK",03-09-2008,Weekday
20333,1,112,9,0,Wright Air Service,2008,7,16,"Kavik River, AK - Arctic Village, AK",16-07-2008,Weekday
20331,1,320,9,0,Bering Air Inc.,2008,3,11,"Nome, AK - McGrath, AK",11-03-2008,Weekday
20455,1,16,9,0,Grant Aviation,2008,12,20,"Bethel, AK - Atmautluak, AK",20-12-2008,Weekend
20336,1,156,9,0,Hageland Aviation Service,2008,11,19,"Bethel, AK - Cape Romanzof, AK",19-11-2008,Weekday
20455,1,19,9,0,Grant Aviation,2008,8,15,"Nightmute, AK - Tununak, AK",15-08-2008,Weekday
20333,1,155,9,0,Wright Air Service,2008,4,28,"Venetie, AK - Minto, AK",28-04-2008,Weekday
20336,1,41,9,0,Hageland Aviation Service,2008,5,2,"Tuntutuliak, AK - Bethel, AK",02-05-2008,Weekday
20455,1,110,9,0,Grant Aviation,2008,2,25,"Bethel, AK - Mountain Village, AK",25-02-2008,Weekday
20336,1,53,9,0,Hageland Aviation Service,2008,3,16,"Newtok, AK - Chevak, AK",16-03-2008,Weekend
20333,1,336,9,0,Wright Air Service,2008,6,27,"Fairbanks, AK - Umiat, AK",27-06-2008,Weekday
20336,1,23,9,0,Hageland Aviation Service,2008,8,26,"Bethel, AK - Nunapitchuk, AK",26-08-2008,Weekday
20340,1,81,9,0,Wings Of Alaska,2008,10,25,"Juneau, AK - Skagway, AK",25-10-2008,Weekend
20336,1,145,9,0,Hageland Aviation Service,2008,12,6,"Scammon Bay, AK - Bethel, AK",06-12-2008,Weekend
20333,1,234,9,0,Wright Air Service,2008,10,26,"Nikolai, AK - Fairbanks, AK",26-10-2008,Weekend
20331,1,118,9,0,Bering Air Inc.,2008,9,8,"Nome, AK - Stebbins, AK",08-09-2008,Weekday
20336,1,101,9,0,Hageland Aviation Service,2008,6,2,"Bethel, AK - St. Mary's, AK",02-06-2008,Weekday
20455,1,298,9,0,Grant Aviation,2008,10,23,"Chevak, AK - Dillingham, AK",23-10-2008,Weekday
20455,1,100,9,0,Grant Aviation,2008,8,6,"Nightmute, AK - Bethel, AK",06-08-2008,Weekday
20333,1,98,9,0,Wright Air Service,2008,8,20,"Fairbanks, AK - Circle Hot Springs, AK",20-08-2008,Weekday
20336,1,225,9,0,Hageland Aviation Service,2008,2,20,"Shishmaref, AK - Unalakleet, AK",20-02-2008,Weekday
20336,1,89,9,0,Hageland Aviation Service,2008,10,13,"Pilot Station, AK - Scammon Bay, AK",13-10-2008,Weekday
20455,1,24,9,0,Grant Aviation,2008,10,9,"Kasigluk, AK - Bethel, AK",09-10-2008,Weekday
20336,1,67,9,0,Hageland Aviation Service,2008,4,6,"Ambler, AK - Selawik, AK",06-04-2008,Weekend
20455,1,156,9,0,Grant Aviation,2008,12,18,"Cape Romanzof, AK - Bethel, AK",18-12-2008,Weekday
20331,1,162,9,0,Bering Air Inc.,2008,8,20,"Savoonga, AK - Nome, AK",20-08-2008,Weekday
20331,1,56,9,0,Bering Air Inc.,2008,9,16,"Deering, AK - Kotzebue, AK",16-09-2008,Weekday
20455,1,116,9,0,Grant Aviation,2008,10,24,"Bethel, AK - Goodnews Bay, AK",24-10-2008,Weekday
20336,1,43,9,0,Hageland Aviation Service,2008,4,17,"Kotzebue, AK - Noorvik, AK",17-04-2008,Weekday
20336,1,130,9,0,Hageland Aviation Service,2008,2,14,"Nome, AK - Koyuk, AK",14-02-2008,Weekday
20336,1,104,9,0,Hageland Aviation Service,2008,9,25,"Stebbins, AK - Koyuk, AK",25-09-2008,Weekday
20333,1,82,9,0,Wright Air Service,2008,8,9,"Coldfoot, AK - Allakaket, AK",09-08-2008,Weekend
20336,1,72,9,0,Hageland Aviation Service,2009,8,25,"Grayling, AK - Unalakleet, AK",25-08-2009,Weekday
20336,1,94,9,0,Hageland Aviation Service,2009,2,17,"Bethel, AK - Aniak, AK",17-02-2009,Weekday
20333,1,82,9,0,Wright Air Service,2009,6,23,"Allakaket, AK - Coldfoot, AK",23-06-2009,Weekday
20331,1,126,9,0,Bering Air Inc.,2009,10,16,"St. Michael, AK - Nome, AK",16-10-2009,Weekday
20331,1,98,9,0,Bering Air Inc.,2009,3,10,"Red Dog, AK - Kiana, AK",10-03-2009,Weekday
20336,1,144,9,0,Hageland Aviation Service,2009,12,23,"Fort Yukon, AK - Fairbanks, AK",23-12-2009,Weekday
20336,1,168,9,0,Hageland Aviation Service,2009,6,8,"Sleetmute, AK - Bethel, AK",08-06-2009,Weekday
